순번(SEQ),제목(TITLE),등록일(REG_DATE),실제파일이름(REAL_FILENAME)
167,철도 유휴부지 활용 생활물류시설 운영사업자 모집 공고(2차) 공고문 및 설명자료,2022-12-19,공고 첨부파일.zip
169,KTX 특송 서비스 운영자 공모,2023-01-12,KTX특송 사업자 공모 안내서(1).hwp
170,화물열차 운행표입니다.(2023년 1월 기준),2023-04-20,2023년 열차 운행표.xlsx
171,철도화물운송 약관,2023-04-20,철도화물운송약관.hwp
172,화물운송세칙,2023-04-20,화물운송 세칙.hwp
173,화물열차 운행표입니다.(2023년 3월 기준),2023-04-21,230222_화물열차번호대장(2023년3월1일).xlsx
174,화물역 현황,2023-04-21,230418_화물취급역 현황(’23년 1월 현재).pdf
175,철도화물영업 업무편람전문,2023-04-21,철도화물영업 업무편람전문.hwp
176,사유화차 운숭 취급 지침 일부개정,2023-04-21,사유화차 운송 취급 지침 일부개정 전문안.hwp
177,화물운송 세칙 일부개정 알림,2023-06-13,3. 신구조문대비표.hwp
178,철도화물영업 업무편람,2023-08-10,230808_철도화물영업 업무편람전문.hwp
